Time,Coverage,Density,Rate(ins),Rate(per),Rate(avg)
10,10465,0.01,1046,38.99,1046,38.99
20,17942,0.01,747,27.41,897,33.15
30,25972,0.02,803,29.84,865,32.06
40,35132,0.03,916,35.62,878,32.91
50,41100,0.03,596,22.50,822,30.84
60,53314,0.04,1221,47.83,888,33.57
70,60314,0.04,700,26.16,861,32.50
80,72855,0.05,1254,46.93,910,34.32
90,79008,0.06,615,25.33,877,33.40
100,91894,0.07,1288,49.26,918,34.97
110,102446,0.08,1055,40.83,931,35.50
120,108892,0.08,644,26.04,907,34.75
130,117839,0.09,894,37.37,906,34.94
140,123851,0.09,601,24.33,884,34.21
150,131275,0.10,742,29.22,875,33.89
160,145921,0.11,1464,57.62,912,35.35
170,155768,0.12,984,39.32,916,35.57
180,164178,0.12,841,31.88,912,35.36
190,175632,0.13,1145,42.94,924,35.78
200,182542,0.14,691,26.19,912,35.29
210,192829,0.14,1028,38.94,918,35.46
220,200619,0.15,779,29.28,911,35.18
230,206052,0.15,543,21.27,895,34.58
240,214368,0.16,831,33.49,893,34.54
250,225838,0.17,1147,43.68,903,34.91
260,228959,0.17,312,12.62,880,34.09
270,240258,0.18,1129,43.41,889,34.43
280,245354,0.18,509,19.72,876,33.91
290,247895,0.18,254,9.93,854,33.09
300,251511,0.19,361,15.66,838,32.57
310,253441,0.19,193,9.33,817,31.96
320,257782,0.19,434,17.40,805,31.52
330,266241,0.20,845,34.05,806,31.59
340,275713,0.21,947,37.72,810,31.77
350,287195,0.21,1148,44.64,820,32.14
360,302104,0.22,1490,57.53,839,32.86
370,305710,0.23,360,13.66,826,32.32
380,315492,0.23,978,37.53,830,32.46
390,329613,0.25,1412,54.31,845,33.03
400,341046,0.25,1143,44.30,852,33.31
410,353627,0.26,1258,51.66,862,33.74
420,363171,0.27,954,36.31,864,33.80
430,371393,0.28,822,32.09,863,33.76
440,383194,0.29,1180,46.30,870,34.05
450,394403,0.29,1120,43.57,876,34.26
460,408750,0.30,1434,56.19,888,34.74
470,421492,0.31,1274,49.36,896,35.05
480,433939,0.32,1244,47.45,904,35.31
490,446421,0.33,1248,51.78,911,35.63
500,459551,0.34,1313,54.34,919,35.98
510,472924,0.35,1337,51.81,927,36.30
520,486317,0.36,1339,52.66,935,36.61
530,497072,0.37,1075,44.06,937,36.75
540,504948,0.38,787,31.79,935,36.66
550,514198,0.38,925,37.53,934,36.67
560,524133,0.39,993,38.78,935,36.71
570,532499,0.40,836,32.36,934,36.63
580,542245,0.40,974,37.33,934,36.64
590,552418,0.41,1017,39.12,936,36.69
600,561649,0.42,923,35.43,936,36.67
610,570146,0.42,849,33.06,934,36.61
620,579295,0.43,914,35.68,934,36.59
630,589359,0.44,1006,39.12,935,36.63
640,602532,0.45,1317,49.93,941,36.85
650,612883,0.46,1035,39.72,942,36.89
660,622768,0.46,988,37.36,943,36.90
670,633172,0.47,1040,39.90,945,36.94
680,641597,0.48,842,32.51,943,36.88
690,650273,0.48,867,33.10,942,36.82
700,658047,0.49,777,29.36,940,36.71
710,666640,0.50,859,32.49,938,36.65
720,674528,0.50,788,31.94,936,36.59
730,683316,0.51,878,34.20,936,36.55
740,691324,0.51,800,30.63,934,36.47
750,700138,0.52,881,34.12,933,36.44
760,709340,0.53,920,35.04,933,36.42
770,718516,0.53,917,35.62,933,36.41
780,726758,0.54,824,31.77,931,36.35
790,736307,0.55,954,37.05,932,36.36
800,745562,0.55,925,35.70,931,36.35
810,755236,0.56,967,37.20,932,36.36
820,763970,0.57,873,33.64,931,36.33
830,768843,0.57,487,20.18,926,36.15
840,777340,0.58,849,32.93,925,36.11
850,785220,0.58,788,30.50,923,36.04
860,793908,0.59,868,33.64,923,36.01
870,802271,0.60,836,32.86,922,35.98
880,811133,0.60,886,34.16,921,35.96
890,819781,0.61,864,33.34,921,35.93
900,827940,0.61,815,31.27,919,35.87
910,836936,0.62,899,35.15,919,35.87
920,844546,0.63,761,29.00,917,35.79
930,853329,0.63,878,33.61,917,35.77
940,861998,0.64,866,33.55,917,35.74
950,869528,0.65,753,28.36,915,35.66
960,876805,0.65,727,28.79,913,35.59
970,885007,0.66,820,31.01,912,35.54
980,892740,0.66,773,29.53,910,35.48
990,902224,0.67,948,36.47,911,35.49
1000,910464,0.68,824,31.78,910,35.45
1010,918456,0.68,799,30.65,909,35.40
1020,925931,0.69,747,30.68,907,35.36
1030,933943,0.69,801,31.65,906,35.32
1040,942476,0.70,853,33.91,906,35.31
1050,949880,0.71,740,29.38,904,35.26
1060,958258,0.71,837,32.08,904,35.23
